"E3M0R2","50.899718","-113.957335","Calgary","AB"
"k2z1b2","50.921065","-113.956951","Calgary","AB"
"K3S4M1","51.129085","-113.951079","Calgary","AB"
"L2X1W5","50.904985","-114.042307","Calgary","AB"
"P2G3A4","51.023648","-114.042583","Calgary","AB"
"P2P2B5","51.045100","-114.076488","Calgary","AB"
"P2Z0C7","50.921964","-113.953342","Calgary","AB"
"P3R0L4","51.155035","-114.150476","Calgary","AB"
"T0L1W0","50.899778","-114.037323","Calgary","AB"
"T0L1X0","51.051623","-114.051507","Calgary","AB"
"T0M1C5","50.886660","-113.975526","Calgary","AB"
"T0M1K0","52.036775","-113.374644","Calgary","AB"
"T0M2E0","51.441982","-114.476445","Calgary","AB"
"T0T0T0","51.682437","-113.947939","Calgary","AB"
"T1M5M7","51.086671","-113.977903","Calgary","AB"
"T1R1Y8","51.011469","-114.066769","Calgary","AB"
"T1R5M2","51.089614","-113.935783","Calgary","AB"
"T1T1T1","50.973253","-113.956491","Calgary","AB"
"T1T5B3","51.094858","-113.949201","Calgary","AB"
"T1T6T5","51.069875","-113.930350","Calgary","AB"
"T1V2M1","50.915629","-114.086456","Calgary","AB"
"T1V7C2","51.090879","-113.926987","Calgary","AB"
"T1X0A1","51.033735","-114.022461","Calgary","AB"
"T1X0G9","50.929488","-113.862797","Calgary","AB"
"T1X0H1","50.922261","-113.851615","Calgary","AB"
"T1X0K7","50.955394","-113.847062","Calgary","AB"
"T1X0L6","51.091453","-114.212386","Calgary","AB"
"T1X1G2","51.060876","-113.890985","Calgary","AB"
"T1X1G3","51.060951","-113.892582","Calgary","AB"
"T1X1G4","51.061028","-113.894242","Calgary","AB"
"T1X1G5","51.060769","-113.896524","Calgary","AB"
"T1X1G6","51.060681","-113.898242","Calgary","AB"
"T1X1L4","51.061866","-113.897080","Calgary","AB"
"T1X1M9","51.094378","-114.052478","Calgary","AB"
"T1X1N8","51.061658","-113.898523","Calgary","AB"
"T1X1P7","51.062075","-113.895445","Calgary","AB"
"T1X1R1","51.062140","-113.893985","Calgary","AB"
"T1Y0A2","51.072112","-113.935400","Calgary","AB"
"T1Y0A3","51.079885","-113.926513","Calgary","AB"
"T1Y0A4","51.084435","-113.954618","Calgary","AB"
"T1Y0A5","51.072820","-113.996907","Calgary","AB"
"T1Y0A8","51.079063","-113.924306","Calgary","AB"
"T1Y1A0","51.099266","-114.006515","Calgary","AB"
"T1Y1A1","51.087499","-113.980011","Calgary","AB"
"T1Y1A2","51.077731","-114.001397","Calgary","AB"
"T1Y1A3","51.074050","-113.979257","Calgary","AB"
"T1Y1A4","51.076929","-113.998102","Calgary","AB"
"T1Y1A5","51.075542","-113.998146","Calgary","AB"
